,Alay,KBBI
320,yng,yang
321,dbuat,dibuat
322,kn,kan
323,pingin,pengin
324,bangcat,bangsat
325,yha,ya
326,waoohhh,wah
327,pngn,pengin
328,tmpt,tempat
329,dhe,deh
330,indahhh,indah
331,bgttt,banget
332,tuhh,tuh
333,berarto,berarti
334,aamiin,amin
335,amiiinn,amin
336,dgn,dengan
337,aminnnn2,amin-amin
338,amiiiin,amin
339,aminnn,amin
340,amiend,amien
341,yaaa,ya
342,ameen,amin
343,aminnnn,amin
344,amiiinnn,amin
345,ngomong,mengomong
346,mamer,memamerkan
347,jelase,jelas
348,liat,lihat
349,uwakk,uwak
350,ntar,entar
351,gini,begini
352,njir,anjir
353,piiink,pink
354,astgfrullah,astagfirullah
355,ko,kok
356,cd,celana dalam
357,gbs,enggak bisa
358,bhs,bahasa
359,yaaaaaa,ya
360,bangshad,bangsat
361,stagahhhh,astaga
362,iooo,lo
363,dy,dia
364,d,ada
365,mslh,masalah
366,qt,kita
367,plampiasannn,pelampiasan
368,masalahh,masalah
369,tohh,toh
370,inghinn,ingin
371,dhi,di
372,mengherthii,mengerti
373,yanckh,yang
374,chelalyyu,selalu
375,therchakitty,tersakiti
376,mauuuuu,mau
377,kaliii,kali
378,bangat,banget
379,bkin,bikin
380,dongg,dong
381,yokkk,yuk
382,yu,yuk
383,sweger,segar
384,gantengg,ganteng
385,bingiit,banget
386,kebukaaa,terbuka
387,tpi,tapi
388,keliatan,kelihatan
389,yakk,ya
390,kayakk,kayak
391,asliii,asli
392,kyk,kayak
393,cntiknya,cantiknya
394,bat,banget
395,ngeliatnya,melihatnya
396,sll,selalu
397,bet,banget
398,njerr,anjir
399,bingiiittttzzzz,banget
400,k,kak
401,dooong,dong
402,masi,masih
403,gni,begini
404,hdk,hendak
405,jugaa,juga
406,mksud,maksud
407,aj,saja
408,tetep,tetap
409,mbakx,mbaknya
410,syantik,cantik
411,kite,kita
412,pa,apa
413,mksd,maksud
414,bejilbbnya,berjilbabnya
415,masio,masih
416,yahhh,ya
417,makasih,terima kasih
418,ugaaa,juga
419,jerewi,jerawat
420,ilang,hilang
421,jilbabnyaah,jilbabnya
422,yuuuk,yuk
423,warnaaa,warna
424,punyaaa,punya
425,cantiik,cantik
426,sukaaak,suka
427,kebayanyaa,kebayanya
428,mantes,memantas
429,merekaaaa,mereka
430,jugaaa,juga
431,gilaaaa,gila
432,tiga2nya,tiga-tiganya
433,lucuu,lucu
434,emessss,gemas
435,ucullllll,lucu
436,males,malas
437,bangeettt,banget
438,gemesshh,gemas
439,apaaa,apa
440,ampuunn,ampun
441,ciuuuummmm,cium
442,mbil,sambil
443,ngmng,mengomong
444,ngemeng,mengomong
445,epe,apa
446,seehh,sih
447,ucul,lucu
448,yahh,ya
449,ngakak,mengakak
450,astagfirrullah,astagfirullah
451,suerrr,suer
452,mnta,minta
453,syg,sayang
454,ntik,cantik
455,pny,punya
456,dapet,dapat
457,suru,suruh
458,lucuuuu,lucu
459,ketawakkkk,ketawa
460,kyanya,kayanya
461,bnget,banget
462,nakutin,menakutkan
463,malingg,maling
464,cocokk,cocok
465,niihh,nih
466,imutttttt,imut
467,satuuuuu,satu
468,sesekk,sesak
469,nafass,nafas
470,bgtt,banget
471,cintaaaaaaa,cinta
472,lucuk,lucu
473,ma,sama
474,duluu,dulu
475,megang,memegang
476,kawinin,mengawini
477,liatin,memperlihatkan
478,ny,nya
479,bdan,badan
480,nyaaa,nya
481,gemesin,menggemaskan
482,fotoin,memfoto
483,ngaku,mengaku
484,kaaa,kak
485,ganteng2,ganteng-ganteng
486,pcarny,pacarnya
487,kri,kiri
488,knpa,kenapa
489,pda,pada
490,cmn,cuman
491,gara2,gara-gara
492,garuk2,garuk-garuk
493,tembokk,tembok
494,namax,namanya
495,kiriii,kiri
496,bungkusin,bungkuskan
497,atu,satu
498,dehhhh,deh
499,kakk,kak
500,ngegantiin,menggantikan
501,alloh,allah
502,smpe,sampai
503,msh,masih
504,trsa,terasa
505,khadirannya,kehadirannya
506,fikiran,pikiran
507,hayalanku,khayalanku
508,bru,baru
509,nton,menonton
510,ngapain,mengapai
511,surgaa,surga
512,kangenn,kangen
513,kgn,kangen
514,kakkkkk,kak
515,rinduuuuuuuuu,rindu
516,ninggalin,meninggalkan
517,smg,semoga
518,terangkhn,terangkan
519,bgtttt,banget
520,tuk,untuk
521,slama,selama
522,orng,orang
523,bngunlah,bangunlah
524,bngun,bangun
525,qu,ku
526,hiri,hari
527,"teman""ny",teman-temannya
528,aza,saja
529,dr,dari
530,alm,almarhum
531,skrg,sekarang
532,sie,sih
533,benet,benar
534,bangetttt,banget
535,tuu,tuh
536,skrang,sekarang
537,gda,enggak ada
538,gantiin,menggantikan
539,kta,kata
540,kklau,kalau
541,acra,acara
542,kasian,kasihan
543,yaaa ,ya
544,bnerr,benar
545,emk,emak
546,temenn,teman
547,pngenn,pengin
548,terkenall,terkenal
549,ajhh,saja
550,sungguh2,sungguh-sungguh
551,mnjadi,menjadi
552,shbt,sahabat
553,bner,benar
554,ktny,katanya
555,dimusiumin,dimuseumkan
556,bntu,bantu
557,dlu,dulu
558,kangem,kangen
559,amiiin,amin
560,smua,semua
561,slmt,selamat
562,jln,jalan
563,"mudh""an",mudah-mudahan
564,tenny,tenang
565,tnya,tanya
566,blm,belum
567,td,tadi
568,sblm,sebelum
569,bole,boleh
570,lahhh,lah
571,cm,cuma
572,wkt,waktu
573,ama,sama
574,ak,aku
575,lht,lihat
576,biasa2,biasa-biasa
577,mnrtkuu,menurutku
578,trs,terus
579,ikutin,mengikuti
580,jdwl,jadwal
