,Alay,KBBI
1260,nyatakan,menyatakan
1261,graaatiiiis,gratis
1262,meriahh,meriah
1263,cantikkkm,cantik
1264,parahh,parah
1265,bingits,banget
1266,yuppss,ya
1267,nyindir,menyindir
1268,onoh,sono
1269,bnyk,banyak
1270,anakny,anaknya
1271,staf2nya,staf-stafnya
1272,begete,banget
1273,aduhh,aduh
1274,manteppp,mantap
1275,hati2,hati-hati
1276,jangan2,jangan-jangan
1277,kata2nya,kata-katanya
1278,ynk,sayang
1279,"nangis""",menangis-nangis
1280,"hati""",hati-hati
1281,"jangan""",jangan-jangan
1282,emank,memang
1283,cr,cara
1284,diemin,diamkan
1285,hancurin,menghancurkan
1286,ckp,cukup
1287,mgkn,mungkin
1288,ato,atau
1289,diapain,diapakan
1290,ms,masih
1291,haragain,menghargai
1292,cb,coba
1293,nyakitin,menyakiti
1294,jgn2,jangan-jangan
1295,sbaiknya,sebaiknya
1296,mngerti,mengerti
1297,blajar,belajar
1298,fakta2,fakta-fakta
1299,spt,seperti
1300,mnding,mending
1301,nilai2,nilai-nilai
1302,buka2,buka-buka
1303,nyinyirin,nyinyir
1304,pdhl,padahal
1305,pd,pada
1306,nyerang,menyerang
1307,hrs,harus
1308,mrk,mereka
1309,trima,terima
1310,ngomomg,mengomong
1311,mang,memang
1312,kbetulan,kebetulan
1313,orgtuanya,orang tuanya
1314,sbelum,sebelum
1315,ngamatin,mengamati
1316,ngintip,mengintip
1317,stelah,setelah
1318,sndiri,sendiri
1319,ngintilin,mengintil
1320,smnjak,semenjak
1321,trbukti,terbukti
1322,nyambet,menyambat
1323,msk,masuk
1324,krmh,ke rumah
1325,bo'ong,bohong
1326,eloo,lo
1327,apa2nya,apa-apanya
1328,goblokkk,goblok
1329,sesatt,sesat
1330,ibliss,iblis
1331,elo,lo
1332,kbiasaan,kebiasaan
1333,hdpnya,hidupnya
1334,lbh,lebih
1335,byk,banyak
1336,anknya,anaknya
1337,tdr,tidur
1338,sbuah,sebuah
1339,anak2nya,anak-anaknya
1340,tdnya,tadinya
1341,ank2nya,anak-anaknya
1342,milih,memilih
1343,branjak,beranjak
1344,ank2,anak-anak
1345,masyarakay,masyarakat
1346,mudah2an,mudah-mudahan
1347,menegerti,mengerti
1348,apa2,apa-apa
1349,sok2,sok-sok
1350,nasehatin,menasihati
1351,ngaca,mengaca
1352,ajah,saja
1353,kakkkk,kak
1354,slamet,selamat
1355,ampe,sampai
1356,nari,menari
1357,ehh,eh
1358,mf,maaf
1359,ngcpin,mengucapkan
1360,woowwww,wow
1361,iaa,ya
1362,kdg,kadang
1363,kebagi,terbagi
1364,nerusin,meneruskan
1365,indo,indonesia
1366,univ,universitas
1367,maen,main
1368,wihh,wih
1369,tetapppp,tetap
1370,gantenggg,ganteng
1371,jakety,jaketnya
1372,nggk,enggak
1373,skli,sekali
1374,kli,kali
1375,ttp,tetap
1376,pala,kepala
1377,pusingggg,pusing
1378,pucing,pusing
1379,ihhhh,ih
1380,maho,manusia homo
1381,gantng,ganteng
1382,alak,kepala
1383,hilangv,hilang
1384,bungggg,bung
1385,gapap,enggak apa-apa
1386,kyak,kayak
1387,pling,paling
1388,gokiiill,gila
1389,busedh,buset
1390,gokilnya,gilanya
1391,duluuu,dulu
1392,keceee,kece
1393,nyaa,nya
1394,klu,kalau
1395,gilaa,gila
1396,duuhhh,duh
1397,amiiiiinnnnn,amin
1398,dg,dengan
1399,tullus,tulus
1400,pluk,peluk
1401,durhaka2,durhaka-durhaka
1402,kpada,kepada
1403,"seburuk""",seburuk-buruk
1404,ortu,orang tua
1405,ktaa,kita
1406,yup,ya
1407,tetaplaah,tetaplah
1408,ajja,saja
1409,dech,deh
1410,oprasi,operasi
1411,gya,gaya
1412,kndung,kandung
1413,sbg,sebagai
1414,ksenangan,kesenangan
1415,ddpt,didapat
1416,jwab,jawab
1417,mmbodohkan,membodohkan
1418,orlaen,orang lain
1419,bgtu,begitu
1420,drpd,daripada
1421,malem,malam
1422,aplikasiin,mengaplikasikan
1423,berangat,berangkat
1424,praktekin,mempraktikkan
1425,dahh,dah
1426,gmn,bagaimana
1427,omdo,omong doang
1428,kate,kata
1429,cabe2,cabe-cabe
1430,prjuangan,perjuangan
1431,kmewahan,kemewahan
1432,stimpal,setimpal
1433,ddpat,didapat
1434,sprt,seperti
1435,bc,baca
1436,mnilai,menilai
1437,kata2,kata-kata
1438,usahh,usah
1439,segala2nya,segala-galanya
1440,sekarng,sekarang
1441,sprti,seperti
1442,mkanya,makanya
1443,hay,hai
1444,mreka,mereka
1445,bhagia,bahagia
1446,korek2,korek-korek
1447,ngebales,membalas
1448,krna,karena
1449,sihh,sih
1450,sasama,sesama
1451,dehh,deh
1452,cabe2an,cabe-cabean
1453,terong2an,terong-terongan
1454,seklian,sekalian
1455,kluar,keluar
1456,tuuu,itu
1457,ngurusan,mengurusi
1458,campurin,mencampuri
1459,emnknya,memangnya
1460,py,punya
1461,unyuu,unyu
1462,mrangkul,merangkul
1463,adlh,adalah
1464,wlo,walau
1465,lh,lah
1466,manusiy,manusia
1467,tx,tak
1468,samara,sakinah mawadah rahman
1469,teringt,teringat
1470,trmsuk,termasuk
1471,dn,dan
1472,pilihnmu,pilihanmu
1473,swmntara,sementara
1474,trmasuk,termasuk
1475,orang2,orang-orang
1476,sgt,sangat
1477,liht,lihat
1478,suaminy,suaminya
1479,jadulnya,jaman dulunya
1480,mantaff,mantap
1481,ngata2in,mengata-ngatai
1482,bagaimna,bagaimana
1483,mulusssss,mulus
1484,bgus,bagus
1485,gmana,bagaimana
1486,kpleset,kepleset
1487,yawlah,ya allah
1488,kepeleset,kepleset
1489,kayanye,kayanya
1490,amiinnnn,amin
1491,komen2an,komen-komenan
1492,wewww,wow
1493,dumsss,dong
1494,tar,entar
1495,perbaikin,memperbaiki
1496,permasalhkan,permasalahkan
1497,betul2,betul-betul
1498,jauhin,jauhi
1499,dateng,datang
1500,adiik,adik
1501,manisss,manis
1502,"besar""",besar-besar
1503,"masing""",masing-masing
1504,ddlm,di dalam
1505,kmbali,kembali
1506,dkuburnya,dikuburnya
1507,fi,di
1508,ttg,tentang
1509,rata2,rata-rata
1510,lbih,lebih
1511,critamu,ceritamu
1512,ja,saja
1513,bres,beres
1514,cmkn,camkan
1515,diurusin,diurusi
1516,biarin,biarkan
1517,kale,kali
1518,donks,dong
1519,"membanding""",membanding-banding
1520,mengperbolehkan,memperbolehkan
1521,krena,karena
1522,ngri,negeri
1523,"dingin""",dingin-dingin
1524,lma,lama
1525,dibangga'in,dibangga-banggakan
1526,ngebolehin,membolehkan
1527,denger,dengar
1528,"jelek""in",menjelek-jelekkan
1529,stiap,setiap
1530,gausa,enggak usah
1531,maksain,memaksakan
1532,smog,semoga
1533,mnerima,menerima
1534,baikxa,baiknya
1535,aaamin,amin
1536,amienn,amien
1537,sekangen2,sekangen-kangen
1538,kt,kita
1539,amiiiiiiiiiinnnnnnn,amin
1540,nolongin,menolong
1541,amiiiiiiiiiiin,amin
1542,seluru,seluruh
1543,amiennn,amien
1544,tebir,ribet
1545,doangam,doang
1546,"tebir""",ribet-ribet
1547,amad,amat
1548,mkst,maksud
1549,wong2,wong-wong
1550,rempong,repot
1551,ngurusin,mengurusi
1552,kerjaan,pekerjaan
1553,bingittzz,banget
1554,bangets,banget
1555,ikh,ih
1556,dwh,deh
1557,nengok,menengok
1558,bante,bantai
1559,la,lah
1560,komenannya,komentarnya
1561,hadapin,menghadapi
1562,dengarin,mendengarkan
1563,ush,usah
1564,cock,cocok
1565,widihh,waduh
1566,mantepp,mantap
1567,cita2,cita-cita
1568,temen-temen,teman-teman
1569,stu,satu
1570,syratnya,syaratnya
1571,pnjang,panjang
1572,shat,sehat
1573,inginkn,inginkan
1574,belanjaa,belanja
1575,burem,buram
1576,tlp,telepon
1577,dngan,dengan
1578,ngerasain,merasai
1579,kancang,kencang
1580,tmbh,tambah
1581,mansyoallah,masyaallah
1582,skali,sekali
1583,canttttikkk,cantik
1584,subhanalloh,subhanallah
1585,lkuin,lakukan
1586,langgenh,langgeng
1587,foto2nya,foto-fotonya
1588,tanggung2,tanggung-tanggung
1589,salluutt,salut
1590,pkai,pakai
1591,org2,orang-orang
1592,mkn,makin
1593,seneng,senang
1594,pdng,padang
1595,warbiyasah,luar biasa
1596,pk,pakai
1597,keedaannya,keadaannya
1598,lagu2,lagu-lagu
1599,saya2,saya-saya
1600,sekrng,sekarang
1601,lagu2nya,lagu-lagunya
1602,ttap,tetap
1603,spertinya,sepertinya
1604,mrah,marah
1605,gra2,gara-gara
1606,sngaja,sengaja
1607,jlek,jelek
1608,udah2,sudah-sudah
1609,ungkit2,ungkit-ungkit
1610,pura2,pura-pura
1611,curhat2,curhat-curhat
1612,matany,matanya
1613,dteng,datang
1614,mata'y,matanya
1615,baju2,baju-baju
1616,buruannn,buruan
1617,emng,memang
1618,perubut,perebut
1619,sumai,suami
1620,tk,tak
1621,urusin,mengurusi
1622,apah,apa
1623,bagus2,bagus-bagus
1624,say,sayang
1625,mmbela,membela
1626,mslhnya,masalahnya
1627,hnya,hanya
1628,sndri,sendiri
1629,sj,saja
1630,llki,lelaki
1631,dluar,diluar
1632,sna,sana
1633,boleh2,boleh-boleh
1634,dya,dia
1635,maluuuu,malu
1636,beda2,beda-beda
1637,nyaranin,menyarankan
1638,x,kali
1639,tongolin,menongol
1640,cabol,cabul
1641,ape,apa
1642,nyet,monyet
1643,muna,munafik
1644,jing,anjing
1645,tot,entot
1646,nihh,nih
1647,hidiyah,hidayah
1648,percya,percaya
1649,bgi,bagi
1650,tlg,tolong
1651,sya,saya
1652,sdri,sendiri
1653,tdi,tadi
1654,mgkin,mungkin
1655,bhwa,bahwa
1656,skaligus,sekaligus
1657,cek2,cek-cek
1658,spti,seperti
1659,smakin,semakin
1660,sbgai,sebagai
1661,mgk,mungkin
1662,bgmn,bagaimana
1663,sapa2,sapa-sapa
1664,sama2,sama-sama
1665,kyknya,kayaknya
1666,pnya,punya
1667,dng,dengan
1668,termurahhh,termurah
1669,bbrp,beberapa
1670,bhw,bahwa
1671,banyaaaaaak,banyak
1672,baik2nya,baik-baiknya
1673,tunjukan,tunjukkan
1674,anak2mu,anak-anakmu
1675,anak2,anak-anak
1676,ngasih2,mengasih-ngasih
1677,berfikir,berpikir
1678,amit2,amit-amit
1679,mba,mbak
1680,elu,lu
1681,ngajuin,mengajukan
1682,tiba2,tiba-tiba
1683,jkt,jakarta
1684,terbaeq,terbaik
1685,namany,namanya
1686,jels,jelas
1687,diakibtkn,diakibatkan
1688,suk,suka
1689,jelek2,jelek-jelek
1690,dsrny,dasarnya
1691,jkrta,jakarta
1692,mantaap,mantap
1693,benar2,benar-benar
1694,main2,main-main
1695,lanjutkaaaaan,lanjutkan
1696,hiduppp,hidup
1697,ncek,encek
1698,majuuu,maju
1699,teruuss,terus
1700,kdg2,kadang-kadang
1701,looohh,loh
1702,sebelumbya,sebelumnya
1703,tunjukin,tunjukkan
1704,"tahun""",tahun-tahun
1705,koment,komentar
1706,nyampein,menyampaikan
1707,hokiii,hoki
1708,naksir,menaksir
1709,"bangt""",banget-banget
1710,nafkahin,menafkahi
1711,ngitem,menghitam
1712,banyaaaak,banyak
1713,"sama""",sama-sama
1714,lhat,lihat
1715,cantika,cantik
1716,cwek,cewek
1717,kngen,kangen
1718,fillm,film
1719,sinet,sinetron
1720,jendral,jenderal
1721,nanya,tanya
1722,maenya,mainnya
1723,cantiks,cantik
1724,wktu,waktu
1725,pilm,film
1726,taon,tahun
1727,nd,indak
1728,slah,salah
1729,jaaangan,jangan
1730,nambah,bertambah
1731,naek,naik
1732,terimaksih,terima kasih
1733,inii,ini
1734,kaannnn,kan
1735,tidakkkk,tidak
1736,kemuh,kamu
1737,da,sudah
1738,keren2,keren-keren
1739,sby,surabaya
1740,pinginnn,pengin
1741,buanget,banget
1742,ketemuuu,ketemu
1743,kebawa,terbawa
1744,mimpiii,mimpi
1745,wanjerrr,anjir
1746,satupunn,satupun
1747,motret,memotret
1748,temen2,teman-teman
1749,lapakk,lapak
1750,nyeniii,menyeni
1751,bget,banget
1752,seeh,sih
1753,abis,habis
1754,deuhh,duh
1755,b2an,berduaan
1756,dihargain,dihargai
1757,"engga""",enggak-enggak
1758,tahun2,tahun-tahun
1759,lebayy,lebay
1760,gilsss,gila
1761,nganbek,mengambek
1762,sukaa,suka
1763,enk,enak
1764,mendam,memendam
1765,manta,mantan
1766,relaaaa,rela
1767,bgun,bangun
1768,tdur,tidur
1769,cntk,cantik
1770,knl,kenal
1771,anugrah,anugerah
1772,slm,salam
1773,kliatan,kelihatan
1774,awoohhh,allah
1775,cantiikk,cantik
1776,gt,begitu
1777,sbbyak,sebanyak
1778,apun,apapun
1779,nyangkutnya,menyangkutnya
1780,untk,untuk
1781,ampunnnnn,ampun
1782,hy,hai
1783,wadaaw,waduh
1784,paraah,parah
1785,sampw,sampai
1786,dijelekin,dijelekkan
1787,napa,kenapa
1788,azeeeek,asik
1789,ntikk,cantik
1790,uhh,uh
1791,mayan,lumayan
1792,mnisss,manis
1793,tambahim,tambahkan
1794,tambahin,tambahkan
1795,"bener""",benar-benar
1796,make,memakai
1797,canttikkk,cantik
1798,baanggeettt,banget
1799,ap,apa
1800,siiihh,sih
1801,krpoooo,kepo
1802,pengn,pengin
1803,nyusul,menyusul
1804,nyok,yuk
1805,dekkk,dek
1806,ngiri,mengiri
1807,mmang,memang
1808,nentuin,menentukan
1809,mnjmput,menjemput
1810,ygs,sayang
1811,mblooo,jomblo
1812,ber'expresi,berekspresi
1813,jdulnya,judulnya
1814,ciumman,ciuman
1815,aurot,aurat
1816,laginy,laginya
1817,nyaaaaaaaaaaaaa,nya
1818,alkhamdulilah,alhamdulillah
1819,ktnya,katanya
1820,selaluu,selalu
1821,anjirrr,anjir
1822,ngeh,engah
1823,amen,amin
1824,qm,kamu
1825,nahhh,nah
1826,ngmngnya,mengomongnya
1827,sampai2,sampai-sampai
1828,hal2,hal-hal
1829,komunitas2,komunitas-komunitas
1830,fotony,fotonya
1831,halllo,halo
1832,ngiritya,mengiritnya
1833,hematt,hemat
1834,ciyeeee,cie
1835,yeeee,ya
1836,nget,banget
1837,kususnya,khususnya
1838,krm,kirim
1839,sam,sama
1840,ajaaahhhhh,saja
1841,syediiihhh,sedih
1842,malangg,malang
1843,belooomm,belum
1844,yaakk,ya
1845,kebukti,terbukti
1846,anak2e,anak-anaknya
1847,tuwanya,tuanya
1848,comen2nya,komen-komennya
1849,pedesssss,pedas
1850,jelas2,jelas-jelas
1851,skg,sekarang
1852,nyebut2,menyebut-nyebut
1853,plg,pulang
1854,smbil,sambil
1855,hellooooooo,halo
1856,ngrebut,merebut
1857,mnjdi,menjadi
1858,taek,tahi
1859,lupain,melupakan
1860,bangkret,bangkrut
1861,taekk,tahi
1862,lahhhhhh,lah
1863,kedokk,kedok
1864,"mati""an",mati-matian
1865,nyimak,menyimak
1866,komenx,komennya
1867,serem2,seram-seram
1868,"ngumpet""",mengumpet-ngumpet
1869,blim,belum
1870,sekrang,sekarang
1871,ngerebut,merebut
1872,mnjijikaaaaaan,menjijikkan
1873,astgfrlh,astagfirullah
1874,sahabatt,sahabat
1875,gnyngka,enggak menyangka
1876,sendirir,sendiri
1877,brengsekk,brengsek
1878,ngomentnya,mengomentarinya
1879,nusuk,menusuk
1880,skr,sekarang
1881,dpotong,dipotong
1882,helo,halo
1883,kmrin,kemarin
1884,ngmgin,mengomongkan
1885,bilangg,bilang
1886,gkhianati,mengkhianati
1887,kpd,kepada
1888,hr,hari
1889,sp,siapa
1890,pljaran,pelajaran
1891,spy,supaya
1892,mngikuti,mengikuti
1893,klkuan,kelakuan
1894,dibikin2,dibikin-bikin
1895,gimana,bagaimana
1896,nnt,nanti
1897,cew,cewek
1898,cow,cowok
1899,kasiannn,kasihan
1900,syekaliii,sekali
1901,hgga,hingga
1902,cieeeee,cie
1903,sholihah,salihah
1904,adeuh,aduh
1905,halahh,alah
1906,luu,lu
1907,yuuks,yuk
1908,yoo,ayo
1909,ginian,beginian
1910,judulnyaa,judulnya
1911,ayoookkkkkk,ayo
1912,artix,artinya
1913,lt,lantai
1914,"nama""",nama-nama
1915,serem,seram
1916,kepoin,mengepoi
1917,keluarin,mengeluarkan
1918,gajelas,enggak jelas
1919,mbak2,mbak-mbak
1920,pedes,pedas
1921,komentnya,komentarnya
1922,omongin,mengomongkan
1923,ngalirrrrr,mengalir
1924,idup,hidup
1925,nmbah,bertambah
1926,terossss,terus
1927,ngehujat,menghujat
1928,dosaa,dosa
1929,ngebela,membela
1930,seindonesiyah,seindonesia
1931,seh,sih
1932,senyumin,senyumi
1933,mh,mah
1934,ngalir,mengalir
1935,ngrusak,merusak
1936,px,punya
1937,kslhn,kesalahan
1938,skrngnya,sekarangnya
1939,emang,memang
1940,kalik,kali
1941,bilangin,bilang
1942,nyambungin,menyambung
1943,sllu,selalu
1944,scra,secara
1945,nggali,menggali
1946,cmpur,campur
1947,dgr,dengar
1948,kurng,kurang
1949,nangiiiiis,menangis
1950,nangiiis,menangis
1951,ngomentarin,mengomentari
1952,idupnya,hidupnya
1953,ortunya,orang tuanya
1954,woey,woy
1955,bloghhh,goblok
1956,ngomongin,mengomongkan
1957,doank,doang
1958,"abal""",abal-abal
1959,dikata2in,dikata-katai
1960,ngehina,menghina
1961,gmna,bagaimana
1962,kebanggan,kebanggaan
1963,mnjawab,menjawab
1964,woooiiiiiiii,woy
1965,dosaaaaaaaaaa,dosa
1966,ingt,ingat
1967,karmaaa,karma
1968,woooiiiii,woy
1969,ngkkkkkk,mengakak
1970,makny,maknya
1971,wdooohhh,waduh
1972,kasihn,kasihan
1973,lhirr,lahir
1974,hujatann,hujatan
1975,palgi,apalagi
1976,wihhh,wih
1977,kakakkk,kakak
1978,bagusss,bagus
1979,jt,juta
1980,ngets,banget
1981,stp,setiap
1982,penbelian,pembelian
1983,cuaantik,cantik
1984,sukakkk,suka
1985,m,sama
1986,cucokkk,cocok
1987,lyt,lihat
1988,expresi,ekspresi
1989,natap,menatap
1990,ccok,cocok
1991,helloo,halo
1992,dripada,daripada
1993,difotoin,difoto
1994,psangan,pasangan
1995,cakepp,cakep
1996,ngiriii,mengiri
1997,coxok,cocok
1998,buatin,buatkan
1999,nihhh,nih
2000,statusx,statusnya
2001,cem,macam
2002,yee,ya
2003,sunggu,sungguh
2004,lagiii,lagi
2005,ammiiin,amin
2006,haddeh,aduh
2007,maaasss,mas
2008,segerrrr,segar
2009,kemn,kemana
2010,suipit,sipit
2011,sipiit,sipit
2012,kedengeran,kedengaran
2013,semangaatt,semangat
2014,promil,program hamil
2015,lancr,lancar
2016,keputihn,keputihan
2017,gratisss,gratis
2018,kebayang,terbayang
2019,"mdh""",mudah-mudah
2020,bz,bisa
2021,amiinn,amin
2022,ammin,amin
2023,mendapatkn,mendapatkan
2024,lucuuuk,lucu
2025,amaattt,amat
2026,aje,saja
2027,yaoloh,yaallah
2028,ngerayain,merayakan
2029,sotoy,sok tau
2030,yok,yuk
2031,d.bikinin,dibikin
2032,mmz,mas
2033,bikinin,bikin
2034,bapeeeer,bawa perasaan
2035,keliatannya,kelihatannya
2036,siih,sih
2037,diginiin,dibeginikan
2038,hadeehh,aduh
2039,pu,punya
2040,suamiiiii,suami
2041,krenn,keren
2042,kebykan,kebanyakan
2043,tingal,tinggal
2044,pernikahn,pernikahan
2045,ngtain,mengatai
2046,macem,macam
2047,bagusnyeee,bagusnya
2048,kemaren,kemarin
2049,hmpir,hampir
2050,liatnyaaa,lihatnya
2051,waw,wow
2052,mbuh,embuh
2053,waaa,wah
2054,berbiiiiiihhh,barbie
2055,canteek,cantik
2056,teru,terus
2057,nyatok,mencatok
2058,nyampenya,sampainya
2059,goncengin,boncengkan
2060,kasi,kasih
2061,dianterin,diantar
2062,gebleg,geblek
2063,bosen,bosan
2064,anterin,antar
2065,ngantar,mengantar
2066,nganterin,mengantarkan
2067,mz,mas
2068,nerima,menerima
2069,ati2,hati-hati
2070,yeuh,ya
2071,kmn,kemana
2072,dianter,diantar
2073,disupirin,disopiri
2074,jidad,jidat
2075,ciee,cie
2076,novembr,november
2077,hri,hari
2078,bedain,membedakan
2079,genduut,gendut
2080,ehhh,eh
2081,bertatto,bertato
2082,brrt,berarti
2083,kana,kanan
2084,dtg,datang
2085,doong,dong
2086,sblah,sebelah
2087,tauuu,tau
2088,tengaj,tengah
2089,ps,pas
2090,gmpg,gampang
2091,engk,enggak
2092,apal,hapal
2093,dak,indak
2094,rupa2nya,rupa-rupanya
2095,kembaq,kembar
2096,tngh,tengah
2097,mknya,makanya
2098,prmpuan,perempuan
2099,ketuker,tertukar
2100,drimnanya,darimananya
2101,cntikan,cantikan
2102,edaaaan,edan
2103,bcnda,bercanda
2104,uhhh,uh
2105,bazengg,bajingan
2106,haiii,hai
2107,bosaan,bosan
2108,gitu2,begitu-gitu
2109,kmana2,kemana-mana
2110,hrsnya,harusnya
2111,sdg,sedang
2112,komentar2,komentar-komentar
2113,kenyataan2,kenyataan-kenyataan
2114,silahkan,silakan
2115,lwt,lewat
2116,sukur2,sukur-sukur
2117,baek2,baik-baik
2118,cma,cuma
2119,berbeda2,berbeda-beda
2120,dibkatakan,dikatakan
2121,doonk,dong
2122,pengikuy,pengikut
2123,ngmngin,mengomongkan
2124,sblmnya,sebelumnya
2125,maksd,maksud
2126,adkah,adakah
2127,menbelah,membelah
2128,ayuk,ayo
2129,mngira,mengira
2130,bertolernsi,bertoleransi
2131,slahkan,salahkan
2132,tolernsi,toleransi
2133,sbnarnya,sebenarnya
2134,ingi,ingin
2135,oalaaaa,walah
2136,menjelekan,menjelekkan
2137,hadeuuh,aduh
2138,dikemanain,dikemanakan
2139,aneh2,aneh-aneh
2140,bpknya,bapaknya
2141,baca2,baca-baca
2142,jwb,jawab
2143,komen2,komen-komen
2144,sebelum2nya,sebelum-sebelumnya
2145,sbagai,sebagai
2146,sedihh,sedih
2147,kangennnn,kangen
2148,gndakan,gandakan
2149,kangeeeeeeeenya,kangen
2150,gaa,enggak
2151,ganti'kn,menggantikan
2152,tnang,tenang
2153,amiiiiiiiiiiiiiiiiin,amin
2154,kgeeeen,kangen
2155,kangeenn,kangen
2156,bangeeeet,banget
2157,bsok,besok
2158,hbis,habis
2159,mti,mati
2160,bngetttt,banget
2161,kangeen,kangen
2162,bgect,banget
2163,"kebaikan""y",kebaikannya
2164,dssi,disisi
2165,kngenn,kangen
2166,kangeeeeennn,kangen
2167,lagii,lagi
2168,dasyat,dahsyat
2169,aer,air
2170,bgni,begini
2171,skalii,sekali
2172,gg,enggak
2173,dtinggl,ditinggal
2174,terbaiiikkkkk,terbaik
2175,murahhh,murah
2176,pecahhg,pecah
2177,kakakgh,kakak
2178,terbaeeeek,terbaik
2179,prempuan,perempuan
2180,manteep,mantap
2181,nggeh,engah
2182,indonesiaaa,indonesia
2183,inia,ini
2184,maluu,malu
2185,cobaaaa,coba
2186,dehhh,deh
2187,cepetan,cepatan
2188,ntapsss,mantap
2189,kamiiii,kami
2190,smangat,semangat
2191,qmu,kamu
2192,sdkit2,sedikit-sedikit
2193,tntg,tentang
2194,penyakitny,penyakitnya
2195,ngajarin,mengajari
2196,laenny,lainnya
2197,amiinnn,amin
2198,scpatny,secepatnya
2199,sampein,sampaikan
2200,tuany,tuanya
2201,doa2,doa-doa
2202,pjg,panjang
2203,adeeek,adek
2204,bca,baca
2205,netes,menetes
2206,mataq,mataku
2207,byangin,membayangkan
2208,trjadi,terjadi
2209,dposisi,diposisi
2210,tanda2nya,tanda-tandanya
2211,dijwb,dijawab
2212,tmn2nya,teman-temannya
2213,sayy,sayang
2214,salaam,salam
2215,ngajar,mengajar
2216,fto2,foto-foto
2217,laen,lain
2218,dallam,dalam
2219,tentanh,tentang
2220,nangiss,menangis
2221,nnton,menonton
2222,kejadianny,kejadiannya
2223,klg,keluarga
2224,sayaang,sayang
2225,msg2,masing-masing
2226,pgnnya,penginnya
2227,meluk,memeluk
2228,siiihhh,sih
2229,mupeng,muka pengin
2230,caya,percaya
2231,aduhhhhhhhhh,aduh
2232,buseett,buset
2233,mblo,jomblo
2234,lucuuu,lucu
2235,gagahx,gagahnya
2236,miriiiip,mirip
2237,kaliiii,kali
2238,niru,meniru
2239,bpkmu,bapakmu
2240,sangt,sangat
2241,baang,bang
2242,gasih,enggak sih
2243,yuu,yuk
2244,yuuu,yuk
2245,samaa,sama
2246,ngademin,mengademkan
2247,aahh,ah
2248,makasi,terima kasih
2249,looo,loh
2250,yokk,yuk
2251,gils,gila
2252,ono,sono
2253,weeeh,wih
2254,suksea,sukses
2255,temenan,berteman
2256,sehh,sih
2257,deket,dekat
2258,dekt,dekat
2259,genggg,geng
2260,yawloh,ya allah
2261,bhnya,bahannya
2262,loo,loh
2263,samaaaa,sama
2264,abanggku,abangku
2265,sayanggg,sayang
2266,dsni,disini
2267,ciieeeeeee,cie
2268,kokohh,engkoh
2269,pdhal,padahal
2270,takuttt,takut
2271,yuks,yuk
2272,pnjual,penjual
2273,yh,ya
2274,dung,dong
2275,latian,latihan
2276,aaaaaaakkk,ah
2277,mauuuu,mau
2278,soga,moga
2279,tteh,teteh
2280,sintron,sinetron
2281,astagaa,astaga
2282,ancurrr,hancur
2283,dblkang,dibelakang
2284,yayang,sayang
2285,gokillllll,gila
2286,aplks,aplikasi
2287,ska,suka
2288,ktawa,ketawa
2289,baguuus,bagus
2290,kaaan,kan
2291,ngepoin,mengepoi
2292,uuhh,uh
2293,beut,banget
2294,njirrr,anjir
2295,pengeeenn,pengin
2296,dongggg,dong
2297,hatii,hati
2298,besook,besok
2299,mauu,mau
2300,gtuu,begitu
2301,njayyy,anjay
2302,tokayyy,tahi
2303,to,tapi
2304,mksdku,maksudku
2305,gituin,begitukan
2306,lgsung,langsung
2307,cba,coba
2308,nh,nih
2309,"ilang""",hilang-hilang
2310,giniin,beginikan
2311,ksini,kesini
2312,kubarikan,kuberikan
2313,ayank,sayang
2314,anyeng,anjing
2315,yankkk,sayang
2316,cukurrr,cukur
2317,gilaaaaaa,gila
2318,yhaaa,ya
2319,qaqaaaa,kakak
2320,sayangkuuuuu,sayangku
2321,kakakuuu,kakakku
2322,banx,bang
2323,edannn,edan
2324,bape,bawa perasaan
2325,"artis""",artis-artis
2326,ngelahirin,melahirkan
2327,paksain,memaksa
2328,biasaa,biasa
2329,hub,hubungi
2330,hubunggi,hubungi
2331,loooh,loh
2332,telimakacih,terima kasih
2333,nerawang,menerawang
2334,cantiiiik,cantik
2335,didapet,didapat
2336,tanya2,tanya-tanya
2337,pede,percaya diri
2338,kuningggg,kuning
2339,nyolot,menyolot
2340,elahh,alah
2341,pnting,penting
2342,bela2in,membela-bela
2343,marah2an,marah-marahan
2344,wlaupun,walaupun
2345,syantiiiiikkkkkkkkkkkk,cantik
2346,"bwa""",bawa-bawa
2347,agma,agama
2348,hijabb,hijab
2349,kerrennn,keren
2350,ngetik,mengetik
2351,ntah,entah
2352,pan,kapan
2353,mateeeek,mati
2354,geetoo,begitu
2355,sewain,menyewa
2356,kokkk,kok
2357,muluuu,melulu
2358,yaaang,yang
2359,iyaa,iya
2360,gituu,begitu
2361,yappp,ya
2362,uwahhhhh,wah
2363,bnr2,benar-benar
2364,psgn,pasangan
2365,ujg,ujung
2366,rmbut,rambut
2367,smp,sampai
2368,kki,kaki
2369,hayukk,hayo
2370,ntab,mantab
2371,atuhhh,atuh
2372,yukss,yuk
2373,lihaatttt,lihat
2374,niiiihh,nih
2375,liattt,lihat
2376,cuyyy,cuy
2377,gapernah,enggak pernah
2378,liatiii,lihat
2379,jombsss,jomblo
2380,emesshhh,gemas
2381,gemeessss,gemas
2382,poollll,pol
2383,gemesyak,gemas ya
2384,bngttt,banget
