,acc_mean,acc_std,precision_negative_mean,precision_negative_std,precision_positive_mean,precision_positive_std,recall_negative_mean,recall_negative_std,recall_positive_mean,recall_positive_std,ngram,classifier,time,smote,tfidf,column,delta_precision,delta_recall
0,78.75140260940354,0.6719187225530365,82.53813580658573,1.6943228691255343,75.80668876541563,1.4395697413266035,72.54913135133208,2.9207671870054703,84.78618185780657,1.825816352855911,1,nb,0,True,True,Tweet,6.7314470411700995,12.237050506474489
1,79.28406415700424,1.6459016653239127,83.75867990016837,4.10207133460726,76.00484848640205,2.8822499611137316,72.56577821283062,2.83567355275138,86.10781771038718,3.4352074050699164,1,nb,0,False,True,Tweet,7.753831413766321,13.542039497556559
2,80.28008184638402,2.8764950106219205,82.35490538731257,5.120690685203944,78.50251823187469,2.0208343320591857,76.87346573692635,2.022229635575657,83.7232003336969,4.4412685076909915,1,nb,0,True,False,Tweet,3.8523871554378815,6.849734596770546
3,79.21409869969857,3.091215466301381,82.27182344963951,6.035600345787449,76.78852627917065,3.1827029417524884,74.2359923181841,3.524278908563578,84.40758648198849,4.94469567846273,1,nb,0,False,False,Tweet,5.483297170468859,10.171594163804386
4,80.08140634969527,1.589400927865247,82.98299290308198,4.072401990606247,77.75096050013565,2.264407792037654,75.42301859757944,3.095729876967008,84.79798496135632,3.2512612893310724,2,nb,0,True,True,Tweet,5.232032402946331,9.374966363776878
5,80.14895161822622,2.8674206189071074,84.11012961256216,3.458641832311984,77.20645455463772,4.421175431183181,74.37474546423486,4.609980343146731,86.00493690069858,3.4293726473237536,2,nb,0,False,True,Tweet,6.9036750579244455,11.630191436463718
6,81.40788981540561,3.143534920582143,83.47559425296392,4.488927839194874,79.67363399119706,2.4035042203700727,78.21467391114902,2.5585877590458193,84.56719620553251,4.64105803122707,2,nb,0,True,False,Tweet,3.801960261766851,6.3525222943834905
7,80.47919737739544,1.8113592656154567,83.51101661666601,2.2695773212410155,78.01969157114554,4.512024768194967,75.85847234789276,3.9729683116653423,85.23251331294861,1.7530991769588187,2,nb,0,False,False,Tweet,5.491325045520469,9.374040965055855
8,79.88097071571583,1.487492990255789,83.08294072777854,1.6569591714734881,77.29888883015084,3.6077730825227783,74.9036826492052,2.99071527288346,84.96999971941503,0.7699299782119386,3,nb,0,True,True,Tweet,5.784051897627691,10.066317070209834
9,80.54498250863568,1.4271266935147255,83.79425541416073,2.331127222543048,77.93866749808487,1.2300233036887207,75.56815117162962,1.1825049051524394,85.45435598983985,2.509742728024324,3,nb,0,False,True,Tweet,5.855587916075862,9.886204818210231
10,80.81032320521,1.5466296301661542,83.47974338831877,4.339401804697752,78.73686904228775,1.6053769968144884,76.70411603908772,3.3041503943925092,84.85125637557348,4.370713637327595,3,nb,0,True,False,Tweet,4.742874346031016,8.147140336485762
11,80.27876174341598,3.3532995935378844,83.34222198037402,2.8674185973787014,77.8272087233485,3.8322872588955983,75.30167175627851,5.0746089717863505,85.21791730518163,2.0053291221381966,3,nb,0,False,False,Tweet,5.515013257025515,9.91624554890312
12,80.08074629821127,2.1627102775913856,83.99346052551239,3.0994222054290224,77.27255094666141,3.312299112036948,74.22019724316671,5.261207493182232,85.87455492627907,3.6130005273058075,1,logreg,0,True,True,Tweet,6.7209095788509785,11.654357683112366
13,79.7463202129766,2.102294313640782,83.73474253725604,1.492393456376,76.79079753353531,3.5520813217368574,73.6112804615517,4.862029633106574,85.88770065286188,1.26087787329412,1,logreg,0,False,True,Tweet,6.943945003720728,12.27642019131018
14,79.74786033310599,1.108092925091944,80.7821176094856,1.6667686483561162,78.79639902539923,1.1294118535426603,77.83287374930588,0.6081284156602037,81.61095385230142,2.140753459224488,1,logreg,0,True,False,Tweet,1.9857185840863707,3.7780801029955455
15,80.14499130932214,1.2303566614939059,82.0404061392058,3.9091268374635226,78.71823889796221,1.9659944754226355,77.20000749406289,2.8680176661508603,83.18671996614026,3.893228553342609,1,logreg,0,False,False,Tweet,3.3221672412435908,5.986712472077372
16,80.14455127499946,3.8089129246138644,85.36249840845429,3.4984329380895622,76.23175857896476,4.9709107684425025,72.42437222975714,4.735688015149829,87.80366578353076,2.582416756504021,2,logreg,0,True,True,Tweet,9.130739829489528,15.379293553773621
17,79.0836285230248,2.9642104361415007,83.9820368487538,2.0357688056352767,75.56302179193224,3.794862774619179,71.57228828581579,5.135031674585251,86.49506997901048,2.0330654331155946,2,logreg,0,False,True,Tweet,8.41901505682155,14.922781693194693
18,80.07766605795253,2.4819857363851883,81.04801954446059,3.031918888438757,79.36121043482667,3.653938721353343,78.21151633754374,4.821505259847379,81.94650956035467,2.6783169504241484,2,logreg,0,True,False,Tweet,1.6868091096339128,3.734993222810928
19,80.67941299421355,2.1138932847722485,82.30161871173286,3.4223480097827834,79.41875293014535,2.3198757085641453,77.99309161666211,3.7680616464455636,83.13586031265349,4.223716078729779,2,logreg,0,False,False,Tweet,2.882865781587512,5.1427686959913785
20,79.01872346042992,2.0570695788316584,84.5320142137541,3.7508875063050198,75.29486450971505,4.112677548887543,71.21552767774142,4.139591301672877,86.9844263038303,3.5535761418077754,3,logreg,1,True,True,Tweet,9.237149704039041,15.768898626088884
21,78.81608765483708,2.62450831268238,84.31833889178108,2.261966214791716,74.86839558034782,4.7180731124976045,70.68776758496188,3.7869029797770026,87.06993939251896,1.489547356406803,3,logreg,0,False,True,Tweet,9.449943311433259,16.382171807557086
